date,gwdepth_ft
2026-02-07 19:00:00+00:00,104.38
2026-02-07 18:45:00+00:00,104.4
2026-02-07 18:30:00+00:00,104.42
2026-02-07 18:15:00+00:00,104.44
2026-02-07 18:00:00+00:00,104.46
2026-02-07 17:45:00+00:00,104.47
2026-02-07 17:30:00+00:00,104.49
2026-02-07 17:15:00+00:00,104.5
2026-02-07 17:00:00+00:00,104.5
2026-02-07 16:45:00+00:00,104.51
2026-02-07 16:30:00+00:00,104.51
2026-02-07 16:15:00+00:00,104.51
2026-02-07 16:00:00+00:00,104.51
2026-02-07 15:45:00+00:00,104.51
2026-02-07 15:30:00+00:00,104.51
2026-02-07 15:15:00+00:00,104.52
2026-02-07 15:00:00+00:00,104.53
2026-02-07 14:45:00+00:00,104.52
2026-02-07 14:30:00+00:00,104.52
2026-02-07 14:15:00+00:00,104.52
2026-02-07 14:00:00+00:00,104.52
2026-02-07 13:45:00+00:00,104.51
2026-02-07 13:30:00+00:00,104.51
2026-02-07 13:15:00+00:00,104.51
2026-02-07 13:00:00+00:00,104.51
2026-02-07 12:45:00+00:00,104.5
2026-02-07 12:30:00+00:00,104.5
2026-02-07 12:15:00+00:00,104.49
2026-02-07 12:00:00+00:00,104.49
2026-02-07 11:45:00+00:00,104.48
2026-02-07 11:30:00+00:00,104.48
2026-02-07 11:15:00+00:00,104.48
2026-02-07 11:00:00+00:00,104.47
2026-02-07 10:45:00+00:00,104.47
2026-02-07 10:30:00+00:00,104.46
2026-02-07 10:15:00+00:00,104.46
2026-02-07 10:00:00+00:00,104.45
2026-02-07 09:45:00+00:00,104.45
2026-02-07 09:30:00+00:00,104.44
2026-02-07 09:15:00+00:00,104.44
2026-02-07 09:00:00+00:00,104.43
2026-02-07 08:45:00+00:00,104.42
2026-02-07 08:30:00+00:00,104.42
2026-02-07 08:15:00+00:00,104.41
2026-02-07 08:00:00+00:00,104.4
2026-02-07 07:45:00+00:00,104.4
2026-02-07 07:30:00+00:00,104.39
2026-02-07 07:15:00+00:00,104.38
2026-02-07 07:00:00+00:00,104.37
2026-02-07 06:45:00+00:00,104.37
2026-02-07 06:30:00+00:00,104.36
2026-02-07 06:15:00+00:00,104.35
2026-02-07 06:00:00+00:00,104.34
2026-02-07 05:45:00+00:00,104.33
2026-02-07 05:30:00+00:00,104.33
2026-02-07 05:15:00+00:00,104.32
2026-02-07 05:00:00+00:00,104.31
2026-02-07 04:45:00+00:00,104.3
2026-02-07 04:30:00+00:00,104.3
2026-02-07 04:15:00+00:00,104.29
2026-02-07 04:00:00+00:00,104.28
2026-02-07 03:45:00+00:00,104.27
2026-02-07 03:30:00+00:00,104.26
2026-02-07 03:15:00+00:00,104.26
2026-02-07 03:00:00+00:00,104.25
2026-02-07 02:45:00+00:00,104.24
2026-02-07 02:30:00+00:00,104.23
2026-02-07 02:15:00+00:00,104.23
2026-02-07 02:00:00+00:00,104.22
2026-02-07 01:45:00+00:00,104.21
2026-02-07 01:30:00+00:00,104.2
2026-02-07 01:15:00+00:00,104.2
2026-02-07 01:00:00+00:00,104.19
2026-02-07 00:45:00+00:00,104.18
2026-02-07 00:30:00+00:00,104.17
2026-02-07 00:15:00+00:00,104.17
2026-02-07 00:00:00+00:00,104.16
2026-02-06 23:45:00+00:00,104.15
2026-02-06 23:30:00+00:00,104.15
2026-02-06 23:15:00+00:00,104.14
2026-02-06 23:00:00+00:00,104.13
2026-02-06 22:45:00+00:00,104.13
2026-02-06 22:30:00+00:00,104.12
2026-02-06 22:15:00+00:00,104.12
2026-02-06 22:00:00+00:00,104.11
2026-02-06 21:45:00+00:00,104.1
